iter	MultiClass
0	0.886508036
1	0.8132244331
2	0.7840676699
3	0.7676761936
4	0.7512644481
5	0.7379415168
6	0.7267582928
7	0.7221213647
8	0.7134438183
9	0.7054823362
10	0.6980282656
11	0.6941669025
12	0.6899527265
13	0.6850526316
14	0.6806371634
15	0.6772893994
16	0.6740795454
17	0.6693017187
18	0.6671965089
19	0.6630760779
20	0.6594368829
21	0.6566753146
22	0.6536798446
23	0.6514317161
24	0.649269324
25	0.6460641278
26	0.6452538214
27	0.6440703948
28	0.6412641064
29	0.6383427255
30	0.6337047593
31	0.6323189636
32	0.6302739304
33	0.6287889509
34	0.6278322578
35	0.6258670527
36	0.6232800376
37	0.6213840042
38	0.6198999964
39	0.618565244
40	0.6177757316
41	0.6160413667
42	0.6152282438
43	0.6135161247
44	0.6118829179
45	0.6105590937
46	0.6098383086
47	0.6079246001
48	0.606372752
49	0.6055336801
