iter	Passed	Remaining
0	19	965
1	37	911
2	56	879
3	74	861
4	93	838
5	112	826
6	130	803
7	149	782
8	167	761
9	185	741
10	203	721
11	222	705
12	243	692
13	263	678
14	284	663
15	303	645
16	321	624
17	340	604
18	357	583
19	375	563
20	393	544
21	411	523
22	429	503
23	446	484
24	464	464
25	482	445
26	499	425
27	518	407
28	536	388
29	554	369
30	572	350
31	590	332
32	608	313
33	626	294
34	644	276
35	664	258
36	682	239
37	700	221
38	719	202
39	738	184
40	756	165
41	774	147
42	793	129
43	811	110
44	829	92
45	848	73
46	865	55
47	884	36
48	901	18
49	920	0
