"rate","time"
"43800.9","2023-12-10 23:00:11.543+00"
"43801.79","2023-12-10 23:00:42.127+00"
"43812.87","2023-12-10 23:01:12.619+00"
"43812.58","2023-12-10 23:01:42.628+00"
"43814.9","2023-12-10 23:02:13.244+00"
"43814.89","2023-12-10 23:02:43.527+00"
"43814.88","2023-12-10 23:03:13.851+00"
"43809","2023-12-10 23:03:44.083+00"
"43829.7","2023-12-10 23:04:14.291+00"
"43846.01","2023-12-10 23:04:44.678+00"
"43844.25","2023-12-10 23:05:15.201+00"
"43824.9","2023-12-10 23:05:45.482+00"
"43764.38","2023-12-10 23:06:15.607+00"
"43800.9","2023-12-10 23:06:45.645+00"
"43771.85","2023-12-10 23:07:16.199+00"
"43800.9","2023-12-10 23:07:46.29+00"
"43787.82","2023-12-10 23:08:17.315+00"
"43792","2023-12-10 23:08:48.953+00"
"43793","2023-12-10 23:09:18.961+00"
"43791.96","2023-12-10 23:09:50.159+00"
"43800.9","2023-12-10 23:10:20.379+00"
"43798.5","2023-12-10 23:10:52.515+00"
"43802.65","2023-12-10 23:11:22.919+00"
"43802.67","2023-12-10 23:11:54.268+00"
"43801","2023-12-10 23:12:24.392+00"
"43766.07","2023-12-10 23:12:54.533+00"
"43766.62","2023-12-10 23:13:25.016+00"
"43763.21","2023-12-10 23:13:55.08+00"
"43761.94","2023-12-10 23:14:25.96+00"
"43739.72","2023-12-10 23:14:56.2+00"
"43654.54","2023-12-10 23:15:26.953+00"
"43690.82","2023-12-10 23:15:57.18+00"
"43713.24","2023-12-10 23:16:27.367+00"
"43707.82","2023-12-10 23:16:58.066+00"
"43700","2023-12-10 23:17:28.201+00"
"43635","2023-12-10 23:17:58.418+00"
"43648","2023-12-10 23:18:28.659+00"
"43616.4","2023-12-10 23:18:58.79+00"
"43640.01","2023-12-10 23:19:28.992+00"
"43653.67","2023-12-10 23:19:59.228+00"
"43654.14","2023-12-10 23:20:30.903+00"
"43624.19","2023-12-10 23:21:01.452+00"
"43602.42","2023-12-10 23:21:31.618+00"
"43597.96","2023-12-10 23:22:01.714+00"
"43580.56","2023-12-10 23:22:32.042+00"
"43628","2023-12-10 23:23:02.589+00"
"43639.2","2023-12-10 23:23:32.826+00"
"43643.87","2023-12-10 23:24:02.852+00"
"43671.82","2023-12-10 23:24:32.895+00"
"43702.62","2023-12-10 23:25:03.128+00"
"43709.36","2023-12-10 23:25:33.174+00"
"43714.3","2023-12-10 23:26:03.232+00"
"43723.6","2023-12-10 23:26:33.245+00"
"43710.62","2023-12-10 23:27:03.277+00"
"43682.7","2023-12-10 23:27:33.845+00"
"43690.42","2023-12-10 23:28:04.277+00"
"43693.61","2023-12-10 23:28:34.473+00"
"43678.18","2023-12-10 23:29:04.772+00"
"43678.1","2023-12-10 23:29:34.817+00"
