Date;count
2020-01-01;939
2020-01-02;3426
2020-01-03;3167
2020-01-04;2472
2020-01-05;1554
2020-01-06;1367
2020-01-07;3263
2020-01-08;2795
2020-01-09;2732
2020-01-10;2807
2020-01-11;2528
2020-01-12;1654
2020-01-13;3186
2020-01-14;2845
2020-01-15;2832
2020-01-16;2598
2020-01-17;2482
2020-01-18;2085
2020-01-19;1499
2020-01-20;2773
2020-01-21;2635
2020-01-22;2488
2020-01-23;2453
2020-01-24;2760
2020-01-25;2039
2020-01-26;1606
2020-01-27;2817
2020-01-28;2798
2020-01-29;2706
2020-01-30;2578
2020-01-31;2522
2020-02-01;2076
2020-02-02;1826
2020-02-03;3380
2020-02-04;2763
2020-02-05;2698
2020-02-06;2526
2020-02-07;2641
2020-02-08;2248
2020-02-09;1499
2020-02-10;3082
2020-02-11;2668
2020-02-12;2764
2020-02-13;2582
2020-02-14;2331
2020-02-15;2099
2020-02-16;1551
2020-02-17;2848
2020-02-18;2575
2020-02-19;2411
2020-02-20;2466
2020-02-21;2461
2020-02-22;1981
2020-02-23;1464
2020-02-24;2754
2020-02-25;2559
2020-02-26;2451
2020-02-27;2563
2020-02-28;2422
2020-02-29;2062
2020-03-01;1630
2020-03-02;2857
2020-03-03;2483
2020-03-04;2358
2020-03-05;2264
2020-03-06;2415
2020-03-07;1906
2020-03-08;1511
2020-03-09;2701
2020-03-10;2456
2020-03-11;2444
2020-03-12;2333
2020-03-13;2488
2020-03-14;2318
2020-03-15;1442
2020-03-16;3130
2020-03-17;2569
2020-03-18;2516
2020-03-19;2794
2020-03-20;2774
2020-03-21;2227
2020-03-22;1527
2020-03-23;3655
2020-03-24;3102
2020-03-25;3236
2020-03-26;3038
2020-03-27;3068
2020-03-28;2359
2020-03-29;1616
2020-03-30;4547
2020-03-31;3462
2020-04-01;3471
2020-04-02;3003
2020-04-03;4086
2020-04-04;2732
2020-04-05;1705
2020-04-06;3394
2020-04-07;2925
2020-04-08;3238
2020-04-09;3003
2020-04-10;2716
2020-04-11;1815
2020-04-12;834
2020-04-13;1028
2020-04-14;4167
2020-04-15;3537
2020-04-16;3323
2020-04-17;3184
2020-04-18;2299
2020-04-19;1399
2020-04-20;3388
2020-04-21;2840
2020-04-22;2796
2020-04-23;2561
2020-04-24;2570
2020-04-25;2024
2020-04-26;1411
2020-04-27;3036
2020-04-28;2818
2020-04-29;2999
2020-04-30;2970
2020-05-01;1419
2020-05-02;1906
2020-05-03;1237
2020-05-04;3707
2020-05-05;3314
2020-05-06;3059
2020-05-07;2769
2020-05-08;2678
2020-05-09;1846
2020-05-10;1401
2020-05-11;3221
2020-05-12;2936
2020-05-13;2816
2020-05-14;2737
2020-05-15;2499
2020-05-16;1907
2020-05-17;1424
2020-05-18;2821
2020-05-19;2599
2020-05-20;2607
2020-05-21;2447
2020-05-22;2516
2020-05-23;1923
2020-05-24;1452
2020-05-25;3039
2020-05-26;2635
2020-05-27;2579
2020-05-28;2472
2020-05-29;2449
2020-05-30;1990
2020-05-31;1463
2020-06-01;3074
2020-06-02;2722
2020-06-03;2614
2020-06-04;2375
2020-06-05;2466
2020-06-06;1788
2020-06-07;1259
2020-06-08;2783
2020-06-09;2434
2020-06-10;2458
2020-06-11;1205
2020-06-12;2439
2020-06-13;1609
2020-06-14;1346
2020-06-15;2767
2020-06-16;2377
2020-06-17;2141
2020-06-18;2281
2020-06-19;2409
2020-06-20;1895
2020-06-21;1437
2020-06-22;2723
2020-06-23;2279
2020-06-24;2523
2020-06-25;2212
2020-06-26;2302
2020-06-27;1755
2020-06-28;1232
2020-06-29;2726
2020-06-30;2526
2020-07-01;2437
2020-07-02;2365
2020-07-03;2280
2020-07-04;1774
2020-07-05;1438
2020-07-06;2651
2020-07-07;2422
2020-07-08;2446
2020-07-09;2388
2020-07-10;2432
2020-07-11;1914
2020-07-12;1344
2020-07-13;2741
2020-07-14;2303
2020-07-15;2466
2020-07-16;2723
2020-07-17;2477
2020-07-18;1703
2020-07-19;1192
2020-07-20;2517
2020-07-21;2327
2020-07-22;2208
2020-07-23;2231
2020-07-24;2139
2020-07-25;1593
2020-07-26;1244
2020-07-27;2555
2020-07-28;2262
2020-07-29;2303
2020-07-30;2349
2020-07-31;2225
2020-08-01;1768
2020-08-02;1404
2020-08-03;2958
2020-08-04;2503
2020-08-05;2755
2020-08-06;2335
2020-08-07;2228
2020-08-08;1666
2020-08-09;1251
2020-08-10;2607
2020-08-11;2450
2020-08-12;2357
2020-08-13;2281
2020-08-14;2190
2020-08-15;1200
2020-08-16;1225
2020-08-17;2756
2020-08-18;2485
2020-08-19;2377
2020-08-20;2222
2020-08-21;2240
2020-08-22;1692
2020-08-23;1272
2020-08-24;2426
2020-08-25;2342
2020-08-26;2403
2020-08-27;2235
2020-08-28;2072
2020-08-29;1857
2020-08-30;1424
2020-08-31;2655
2020-09-01;2583
2020-09-02;2452
2020-09-03;2094
2020-09-04;2004
2020-09-05;1485
2020-09-06;1199
2020-09-07;2133
2020-09-08;1938
2020-09-09;2079
2020-09-10;2060
2020-09-11;1979
2020-09-12;1500
2020-09-13;1120
2020-09-14;2356
2020-09-15;2077
2020-09-16;2027
2020-09-17;1955
2020-09-18;1997
2020-09-19;1417
2020-09-20;1100
2020-09-21;2260
2020-09-22;1942
2020-09-23;2030
2020-09-24;1995
2020-09-25;1985
2020-09-26;1628
2020-09-27;1159
2020-09-28;2309
2020-09-29;2045
2020-09-30;2192
2020-10-01;2079
2020-10-02;2107
2020-10-03;1590
2020-10-04;1338
2020-10-05;2695
2020-10-06;2284
2020-10-07;2166
2020-10-08;2095
2020-10-09;2113
2020-10-10;1931
2020-10-11;1263
2020-10-12;2795
2020-10-13;2348
2020-10-14;2409
2020-10-15;2257
2020-10-16;2108
2020-10-17;1756
2020-10-18;1249
2020-10-19;2499
2020-10-20;2202
2020-10-21;2103
2020-10-22;2183
2020-10-23;2072
2020-10-24;1699
2020-10-25;1328
2020-10-26;2546
2020-10-27;2232
2020-10-28;2183
2020-10-29;2196
2020-10-30;2252
2020-10-31;1740
2020-11-01;1113
